team,elo,rank
Spain,2217.5535550426907,1
Argentina,2188.7945590437307,2
France,2123.5473189470126,3
England,2084.775725660573,4
Brazil,2067.7686667529533,5
Colombia,2062.6629412382963,6
Portugal,2041.206462025048,7
Ecuador,2026.573889919021,8
Netherlands,2009.3526088126807,9
Germany,2003.2522990910793,10
Japan,1992.3948615743736,11
Morocco,1984.2701102826695,12
Mexico,1979.1007418066124,13
Uruguay,1974.3473616965698,14
Norway,1969.9786257210596,15
Croatia,1968.0284642321012,16
Turkey,1967.998803247722,17
Belgium,1955.4230044926553,18
Switzerland,1954.6385667992586,19
Italy,1927.1828636482946,20
Denmark,1927.124855221584,21
Paraguay,1917.3885353914284,22
Senegal,1913.0644757965717,23
Australia,1899.5972710606534,24
Canada,1898.086851742056,25
Iran,1895.9961773901346,26
Austria,1888.5987237721151,27
Nigeria,1885.6361755625214,28
South Korea,1879.9799828091411,29
Algeria,1872.6747746886776,30
Yugoslavia,1871.3525930706828,31
Panama,1853.9331514745159,32
Scotland,1842.8870470442366,33
Ukraine,1839.8853433159222,34
Russia,1839.3114680323483,35
United States,1825.9964113358426,36
Venezuela,1822.733282727705,37
Uzbekistan,1819.4522418184076,38
Ivory Coast,1814.2614940279207,39
Egypt,1809.8171921965181,40
Jersey,1803.2911171867286,41
Chile,1802.167120402903,42
Greece,1801.5922949829776,43
Czechoslovakia,1801.4618472549435,44
Czech Republic,1800.624070306236,45
Serbia,1800.4005823099023,46
Basque Country,1798.1497529524638,47
Jordan,1774.4541411578157,48
Peru,1770.8776864281704,49
Kosovo,1770.251164195718,50
Poland,1769.453551837573,51
Sweden,1769.135460222335,52
Hungary,1766.231394165434,53
DR Congo,1763.0128588145146,54
Republic of Ireland,1759.4482919710504,55
Costa Rica,1749.2953662627701,56
Guernsey,1744.791637664443,57
Wales,1741.6946536974326,58
Tunisia,1737.5963679984807,59
Iraq,1737.103601730601,60
Slovenia,1736.8492875587638,61
German DR,1730.5185360932664,62
Bolivia,1727.6298084533491,63
Occitania,1724.1993304372766,64
Cameroon,1723.7041732668736,65
Slovakia,1723.4736748550743,66
New Zealand,1718.776786579394,67
Northern Cyprus,1717.81443205257,68
Honduras,1710.918383024162,69
Iraqi Kurdistan,1710.041565761075,70
Georgia,1709.1553939562898,71
Isle of Man,1709.030423627398,72
Mali,1707.6697689457076,73
Haiti,1706.8903567884217,74
Padania,1706.6996927152552,75
Israel,1699.3443351421222,76
Romania,1699.1280736678334,77
Saudi Arabia,1692.1922785291156,78
Albania,1672.154354865469,79
United Arab Emirates,1664.2015428712516,80
South Africa,1662.8420992929,81
Northern Ireland,1660.9163710488863,82
Isle of Wight,1660.2170051088767,83
Jamaica,1658.6077167441154,84
Catalonia,1655.290925355906,85
Cape Verde,1653.0812656635992,86
Burkina Faso,1652.121107374808,87
Bosnia and Herzegovina,1650.256600539622,88
North Macedonia,1647.9634115510894,89
Guatemala,1647.4152841789717,90
Ynys Môn,1639.642840990788,91
Abkhazia,1637.4664627171853,92
County of Nice,1628.5225696511586,93
Iceland,1628.0226576823034,94
Ghana,1624.887397979432,95
Kárpátalja,1618.5867549224918,96
Curaçao,1606.188303960005,97
New Caledonia,1599.3350132686476,98
Finland,1597.7791567263987,99
Syria,1597.7441398509802,100
Kernow,1595.023276225605,101
Andalusia,1592.2637926644861,102
Rhodes,1591.7393035670511,103
Suriname,1590.9106858040307,104
Panjab,1590.5451471209378,105
Angola,1588.5066033396988,106
Palestine,1587.064863747209,107
Belarus,1583.4381160931464,108
Réunion,1582.447341104484,109
Tamil Eelam,1581.1085398119485,110
Guinea,1577.7677997635863,111
Chameria,1575.297704150867,112
Oman,1572.8323267605772,113
Kurdistan,1566.7995968580328,114
Artsakh,1566.7897700507594,115
Qatar,1565.1173805682636,116
Menorca,1564.226869804201,117
Zanzibar,1556.1951070717407,118
Arameans Suryoye,1556.0424644326376,119
Corsica,1555.62872846671,120
Ellan Vannin,1554.1786897280654,121
Yorkshire,1552.766798261512,122
China,1551.8050180501666,123
Zambia,1549.8173818463215,124
Quebec,1546.1898016367966,125
Cascadia,1544.5589134450213,126
Bahrain,1540.1251751202938,127
Benin,1538.9453447284461,128
Gambia,1538.6276849388694,129
Trinidad and Tobago,1537.2296621196047,130
Bulgaria,1536.3488585233347,131
Thailand,1533.2303940912802,132
Libya,1530.086371422338,133
Galicia,1530.0664443952228,134
Maule Sur,1528.345836909456,135
Western Armenia,1526.334971212298,136
Gabon,1521.2778051336488,137
Asturias,1520.5297736017358,138
Guadeloupe,1518.6201971534033,139
Montenegro,1516.318587453997,140
Surrey,1516.1670510615845,141
Biafra,1515.109289740152,142
Canary Islands,1514.9519908857021,143
Felvidék,1514.3765973084649,144
Parishes of Jersey,1513.7312485727941,145
Uganda,1512.6581606744612,146
Donetsk PR,1512.035481105258,147
Madagascar,1509.670550686835,148
Tahiti,1509.2294240975189,149
Mapuche,1508.4707999873015,150
Silesia,1506.690786983817,151
United Koreans in Japan,1506.1907375086973,152
Elba Island,1505.6669998818788,153
Kazakhstan,1505.4856331939918,154
Crimea,1504.7563719448374,155
Brittany,1504.168762028915,156
Nicaragua,1503.9465126289465,157
Indonesia,1503.0214869706633,158
Shetland,1501.0221812709767,159
Délvidék,1498.370303104046,160
Niger,1498.1504158294865,161
Central Spain,1495.317158400716,162
Togo,1495.2628504409265,163
Mozambique,1493.9872771109863,164
El Salvador,1493.9573002696638,165
Saugeais,1493.4948332914144,166
North Korea,1492.1329374890195,167
South Ossetia,1491.825435986227,168
Cilento,1491.3279372540528,169
Guyana,1491.02769111235,170
Luhansk PR,1490.435736984173,171
Madrid,1489.4748802294466,172
North Vietnam,1487.838144873023,173
Matabeleland,1486.5357678329412,174
Seborga,1486.4094479014773,175
Comoros,1485.3975158668204,176
Yoruba Nation,1483.7226176317267,177
Sealand,1483.0239609106334,178
Malaysia,1480.8311102173961,179
Republic of St. Pauli,1480.8138480838422,180
Martinique,1478.5554108456327,181
Zimbabwe,1475.1781839446635,182
Dominican Republic,1475.111802331878,183
Somaliland,1474.908270635579,184
Ryūkyū,1474.8687195709851,185
Sudan,1474.671373152699,186
