team,reach_R32,reach_R16,reach_QF,reach_SF,reach_final,champion
Argentina,0.983,0.7959,0.5951,0.4479,0.3094,0.2047
Spain,0.9909,0.8063,0.5839,0.3855,0.2566,0.1556
Brazil,0.9858,0.7676,0.5404,0.3284,0.1803,0.0992
England,0.9805,0.7234,0.463,0.2902,0.1626,0.0903
France,0.9388,0.6817,0.4119,0.2351,0.1241,0.0649
Portugal,0.9342,0.6697,0.4285,0.2368,0.1296,0.0627
Colombia,0.912,0.6352,0.3791,0.1944,0.0932,0.0449
Belgium,0.9593,0.6234,0.3908,0.1768,0.0854,0.0365
Germany,0.9852,0.6189,0.3048,0.1558,0.0777,0.0349
Morocco,0.926,0.6061,0.3481,0.1757,0.081,0.0343
Netherlands,0.899,0.534,0.2642,0.1461,0.0674,0.0283
Ecuador,0.9275,0.5189,0.2467,0.1172,0.0477,0.0188
Norway,0.8453,0.4984,0.242,0.1118,0.0473,0.0179
Switzerland,0.9655,0.5662,0.2534,0.1134,0.0463,0.017
Japan,0.8409,0.4384,0.2083,0.1044,0.0437,0.0168
Uruguay,0.8964,0.5,0.2567,0.1206,0.0434,0.0146
Croatia,0.9184,0.4978,0.2324,0.101,0.0392,0.012
Austria,0.8021,0.4355,0.1879,0.0781,0.0308,0.0107
Senegal,0.7411,0.3681,0.1569,0.0626,0.022,0.0065
Algeria,0.7373,0.3678,0.145,0.0498,0.0168,0.0048
Mexico,0.8983,0.3613,0.1279,0.0399,0.0115,0.0032
Turkey,0.7188,0.2773,0.1112,0.0323,0.0105,0.0029
Canada,0.9269,0.3824,0.1237,0.0347,0.0099,0.0027
Australia,0.6833,0.2609,0.101,0.0271,0.0083,0.0025
Iran,0.7868,0.3128,0.1179,0.0347,0.01,0.0024
Ivory Coast,0.8128,0.3097,0.1032,0.0327,0.0077,0.0021
Paraguay,0.6607,0.2324,0.0868,0.0278,0.007,0.002
Scotland,0.7049,0.2704,0.0898,0.0255,0.0063,0.0015
South Korea,0.7106,0.2201,0.0617,0.0179,0.0046,0.0011
United States,0.6937,0.2167,0.0706,0.0173,0.0041,0.001
Czech Republic,0.7105,0.2211,0.0617,0.0159,0.0029,0.0008
Sweden,0.5467,0.1734,0.0531,0.0129,0.0032,0.0007
Egypt,0.6929,0.2381,0.0775,0.0199,0.0048,0.0007
DR Congo,0.3904,0.1312,0.0366,0.0075,0.0016,0.0005
Uzbekistan,0.3646,0.1153,0.0265,0.0053,0.001,0.0002
Tunisia,0.4051,0.1032,0.0295,0.0067,0.0016,0.0002
Bosnia and Herzegovina,0.5144,0.0972,0.0177,0.0016,0.0002,0.0001
Saudi Arabia,0.3443,0.0629,0.0116,0.0021,0.0001,0.0
Qatar,0.2153,0.0214,0.0019,0.0004,0.0,0.0
Cape Verde,0.2653,0.0381,0.0056,0.0004,0.0,0.0
Panama,0.2992,0.0451,0.0072,0.0009,0.0,0.0
Iraq,0.1824,0.0378,0.0071,0.001,0.0,0.0
Jordan,0.1692,0.0336,0.0044,0.0008,0.0,0.0
Haiti,0.0934,0.0112,0.0014,0.0,0.0,0.0
New Zealand,0.224,0.0294,0.0029,0.0,0.0,0.0
Ghana,0.3757,0.0673,0.0106,0.0017,0.0,0.0
South Africa,0.3891,0.0731,0.0115,0.0013,0.0002,0.0
Curaçao,0.0515,0.0033,0.0003,0.0001,0.0,0.0
