,attack,defend
Afghanistan,-0.08573766508619227,0.2524290565709698
Albania,1.1692580791169789,-1.1091277710114307
Alderney,-1.1512124034844367,1.918465748972194
Algeria,1.8804809087688343,-1.1618647000877473
American Samoa,-1.3882905935307492,2.8870891660657763
Andorra,0.018024541591759577,-0.4125915681914781
Angola,1.1714469466309996,-0.8897987677030562
Anguilla,-0.8938169380099902,1.3841759462888044
Antigua and Barbuda,-0.30956170983753706,0.7400442564151046
Argentina,2.183022817576118,-1.9578684850645984
Armenia,1.2004097662270983,-0.2835844896418202
Aruba,0.3544956042804267,0.6102918031789183
Australia,1.6955732760521285,-1.21810914177496
Austria,1.8858415555010786,-1.2942273167505198
Azerbaijan,0.9218454371012283,-0.4140159091795364
Bahamas,-0.3243703541213878,1.4025847754364202
Bahrain,1.0678903073555222,-0.5126375452428054
Bangladesh,-0.013186361086526545,0.42178649058802176
Barbados,0.24389111130782362,0.8352703151828582
Belarus,1.338190200166639,-0.5653691094319879
Belgium,2.1549064241504627,-1.3404054873523823
Belize,0.19300000192921807,0.41737628928111176
Benin,1.2123664329013668,-0.5403752855996795
Bermuda,0.780322784227402,0.5182077298754935
Bhutan,-0.701547569402601,1.1246495204843923
Bolivia,1.3669151323944086,-0.6526267924423946
Bonaire,-0.13231039206005912,0.8412049883640926
Bosnia and Herzegovina,1.3683061643202263,-0.8209299201542634
Botswana,0.7946849288042203,-0.4202608312737558
Brazil,2.3214337353941024,-1.4590815348001904
British Virgin Islands,-0.13899597672254682,0.9080863288414796
Brunei,-0.4149644724811518,1.0659709123681536
Bulgaria,1.193584446056417,-0.5479810308901348
Burkina Faso,1.5645854754417026,-0.7137512428751666
Burundi,0.9144503038526375,-0.3284927477561233
Cambodia,0.32821925359356063,0.568393662608362
Cameroon,1.3788856177449524,-1.0735155799359568
Canada,1.6371021281880793,-1.1921831775441765
Cape Verde,1.253335480119343,-0.7525195172390998
Cayman Islands,-0.3644599978291964,0.9267299842781811
Central African Republic,1.0353750936702277,-0.08539995112960114
Chad,0.4822445761791717,-0.13335270929095183
Chile,1.7684700242934295,-1.029136001615021
China,0.9369806914745047,-0.5359658943669526
Colombia,2.1661699436445025,-1.4262306086311634
Comoros,1.1334271490485321,-0.4567245117958208
Congo,0.8453768289314179,-0.13487439371847748
Costa Rica,1.3556553955637507,-0.6577510444417138
Croatia,1.9636700421319837,-1.2874811421758805
Cuba,0.46628366605964444,0.12620456122347076
Curaçao,1.013435192319592,-0.3341884552631297
Cyprus,1.1313874825497385,-0.35948902213371525
Czech Republic,1.7830936693556603,-0.9615927340994321
DR Congo,1.3122693639280252,-1.1987313473560948
Denmark,1.977303396710558,-1.3583331000756136
Djibouti,0.5093131093243668,0.3528368311698184
Dominica,-0.18355775624157206,0.5883453536773433
Dominican Republic,0.8988346876618938,-0.09285645088103339
Ecuador,1.688688733255019,-1.647934218251883
Egypt,1.4966853631501105,-1.2395140672047658
El Salvador,0.4595569534679067,-0.462959630159659
Ellan Vannin,-0.05045608013316614,0.8555508159983221
England,2.1058874005040185,-1.6822841119519292
Equatorial Guinea,0.8708133910967072,-0.5348188663035026
Estonia,0.9910910786491893,-0.4994494593027298
Eswatini,0.85617194361256,-0.2001240539937349
Ethiopia,0.9647950765770307,-0.32440355789976244
Faroe Islands,0.9128663075103833,-0.6701691356161146
Fiji,-0.09815862945291204,0.923493847121511
Finland,1.3773155643045047,-0.7933544826494096
France,2.209862350825516,-1.459773043379598
French Guiana,0.6084413881546814,0.10567285510457791
Gabon,1.347000999697477,-0.3517670293977028
Gambia,1.426305446594095,-0.3834692838582256
Georgia,1.6312556739717652,-0.8955215492153813
Germany,2.2580984378310363,-1.2328342242073391
Ghana,1.3646637326493833,-0.8105677632237289
Gibraltar,0.3458187933410972,0.06491487171169301
Greece,1.7034914168288113,-1.2419769153666984
Grenada,0.2709777376936581,0.4069132655508216
Guadeloupe,0.6808556461947651,-0.07792003538386744
Guam,-0.47181890520445796,1.194523576847161
Guatemala,1.0708075303321856,-0.3382989671735686
Guernsey,-0.6401318482883718,0.5008373608659589
Guinea,1.277958252689121,-0.7243441911464295
Guinea-Bissau,0.7040066576220421,-0.4391944516998639
Guyana,0.8399277091585434,0.2784162785984412
Haiti,1.3676380896651943,-0.4278431861992555
Hitra,-0.07049398196157804,2.1592464479881115
Honduras,1.0412980696076732,-0.6043080223568488
Hong Kong,0.47921060431671036,-0.01953892778015609
Hungary,1.5855906719697013,-1.024768487701494
Iceland,1.5938211821728903,-0.6935703217722716
India,0.28938060837677715,-0.12245285293547838
Indonesia,0.9276118849402586,-0.24247145226170203
Iran,1.7711219454264193,-1.1387498823724422
Iraq,1.2116759705865454,-0.9179786463975509
Isle of Man,0.201452665819668,1.1147308158627447
Israel,1.782962702552222,-0.651768255415099
Italy,1.9645994978738437,-1.295681818885256
Ivory Coast,1.5844266395082913,-1.2493943228795144
Jamaica,0.9438088846851924,-0.6255939593849592
Japan,1.9465143418890793,-1.428079252528175
Jersey,0.22752182690829326,1.1703547474141103
Jordan,1.5261784490956385,-0.646964856315058
Kazakhstan,1.0864337950641847,-0.5084881104863757
Kenya,1.036261532304598,-0.34056053926926266
Kosovo,1.6026427823964766,-0.9601801436381506
Kuwait,1.0719557047928032,-0.2177193667490869
Kyrgyzstan,0.9156928639245298,-0.22738924996543738
Laos,0.09498785655279363,0.850328987352044
Latvia,0.8107056250005586,-0.474632445638782
Lebanon,0.6013745005044296,-0.535520093755595
Lesotho,0.656514517933004,-0.3754173167234483
Liberia,0.8953128122570321,-0.33110808398533675
Libya,1.1126637450961132,-0.6431615221343503
